_r,_x,_y,_p,RAJ2000,DEJ2000,errMaj,errMin,errPA,_2MASS,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Rflg,Bflg,Cflg,Ndet,prox,pxPA,pxCntr,Xflg,Aflg,Cntr,Hemis,Date,Scan,GLON,GLAT,Xscan,_tab1_36,Jpsfchi,Hpsfchi,Kpsfchi,Jstdap,e_Jstdap,Hstdap,e_Hstdap,Kstdap,e_Kstdap,edgeNS,edgeEW,edge,dup,use,opt,Dopt,PAopt,Bmag,Rmag,Nopt,extKey,scanKey,coaddKey,coadd,Opt
0.101863,-0.066464,-0.077192,220.7,257.797302,-39.258156,0.06,0.06,45,17111135-3915293,12.916,0.032,0.035,132.1,11.879,0.035,0.036,128.0,11.549,0.029,0.030,108.9,AAA,222,111,000,666666,4.1,34,672002060,0,0,672002046,s,1999-08-09,11,347.472,0.193,37.3,2451400.4889,4.15,2.55,2.13,12.850,0.018,11.841,0.026,11.521,0.023,9879,216,sw,0,1,U,0.4,202,19.60,16.30,2,,36753,845307,127,Opt
0.105310,-0.077176,-0.071652,227.1,257.783475,-39.252605,0.07,0.07,45,17110803-3915093,15.629,0.096,0.096,10.9,13.800,0.050,0.050,21.8,13.153,0.045,0.046,24.8,AAA,222,111,c00,063636,4.9,83,672002148,0,0,672002138,s,1999-08-09,11,347.470,0.204,75.9,2451400.4889,0.51,0.73,0.79,15.823,0.199,14.162,0.137,13.423,0.039,9899,177,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.100720,-0.065820,-0.076238,220.8,257.798135,-39.257202,0.11,0.11,45,17111155-3915259,14.596,0.051,0.053,28.1,12.510,,,,12.250,,,,AUU,200,100,c00,660000,4.1,214,672002046,0,0,672002060,s,1999-08-09,11,347.473,0.193,35.0,2451400.4889,3.28,,,13.334,0.046,,,,,9882,218,sw,0,1,U,0.7,284,19.70,16.80,2,,36753,845307,127,Opt
0.098567,-0.058231,-0.079527,216.2,257.807932,-39.260498,0.11,0.11,45,17111390-3915377,15.114,0.078,0.079,17.5,13.786,,,,13.338,,,,AUU,200,100,c00,660000,7.1,116,672001982,0,0,672001995,s,1999-08-09,11,347.475,0.185,7.7,2451400.4889,2.04,,,14.812,0.089,,,,,9871,245,sw,0,1,U,0.3,273,20.40,17.60,1,,36753,845307,127,Opt
0.104349,-0.065010,-0.081624,218.5,257.799175,-39.262589,0.06,0.06,45,17111180-3915453,14.320,0.044,0.046,36.3,13.018,0.050,0.050,44.8,12.536,0.041,0.041,43.9,AAA,222,111,ccc,666655,4.7,91,672001950,0,0,672001953,s,1999-08-09,11,347.469,0.189,32.1,2451400.4889,1.12,1.08,0.89,13.494,0.108,12.395,0.119,12.029,0.071,9863,221,sw,0,1,U,4.4,267,18.70,16.50,1,,36753,845307,127,Opt
0.107732,-0.077543,-0.074789,226.0,257.782997,-39.255741,0.06,0.06,45,17110791-3915206,15.276,0.078,0.079,15.0,13.521,0.045,0.046,28.2,12.760,0.037,0.038,35.7,AAA,222,111,000,466666,8.7,242,672002069,0,0,672002087,s,1999-08-09,11,347.467,0.203,77.2,2451400.4889,0.71,1.27,1.22,15.207,0.082,13.500,0.053,12.769,0.028,9888,176,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.108297,-0.083320,-0.069180,230.3,257.775545,-39.250126,0.06,0.06,45,17110613-3915004,14.549,0.039,0.041,29.4,13.225,0.028,0.030,37.1,12.706,0.034,0.035,37.5,AAA,222,111,000,666655,6.1,163,672002159,0,0,672002187,s,1999-08-09,11,347.468,0.211,98.0,2451400.4889,1.36,0.78,0.64,14.626,0.074,13.377,0.062,12.791,0.040,9908,155,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.110541,-0.077868,-0.078459,224.8,257.782572,-39.259411,0.06,0.06,45,17110781-3915338,13.667,0.031,0.033,66.2,13.259,0.036,0.037,35.9,13.069,0.048,0.048,26.8,AAA,222,111,000,666666,9.6,216,672001978,0,0,672002020,s,1999-08-09,11,347.464,0.201,78.4,2451400.4889,2.91,1.92,1.24,13.576,0.034,13.117,0.031,13.036,0.051,9875,175,sw,0,1,U,0.3,33,17.10,15.50,1,,36753,845307,127,Opt
0.113842,-0.077789,-0.083120,223.1,257.782668,-39.264072,0.06,0.06,90,17110784-3915506,13.523,0.025,0.027,75.6,12.949,0.028,0.030,47.8,12.771,0.034,0.035,35.3,AAA,222,111,000,666655,6.1,289,672001938,0,0,672001932,s,1999-08-09,11,347.460,0.198,78.1,2451400.4889,0.83,0.64,0.87,13.621,0.020,13.082,0.039,13.017,0.048,9858,175,sw,0,1,U,0.2,175,19.40,17.00,1,,36753,845307,127,Opt
0.112519,-0.075636,-0.083305,222.2,257.785448,-39.264259,0.11,0.11,45,17110850-3915513,15.056,0.093,0.094,18.4,12.887,,,,12.423,,,,AUU,266,200,c00,660000,4.0,82,672001931,0,0,672001928,s,1999-08-09,11,347.461,0.196,70.3,2451400.4889,1.64,,,13.969,0.083,,,,,9857,183,sw,0,1,U,0.7,272,19.80,16.80,2,,36753,845307,127,Opt
